,DWHotelID,Unnamed: 0,w,Date,ListPriceTRY,PurchaseAmountTRY,RatingTripA,ProfitRate,featureScore,Date_year,Date_week,rooms_old,#rooms,empty_rooms,rewardrate,list_price,moving_avg
479,10.0,1564,0.0,2019-37,660.0,376.0,4.0,0.7553191489361702,0.8534816338249337,2019,37,1.0,28.0,28.001,10.14249491089604,450.0,25.0
480,10.0,1565,0.0,2019-38,660.0,376.0,4.0,0.7553191489361702,0.8534816338249337,2019,38,1.0,28.0,28.001,10.14249491089604,630.0,22.0
481,10.0,1566,0.0,2021-21,660.0,376.0,4.0,0.7553191489361702,0.8534816338249337,2021,21,1.0,21.0,21.001,13.523165563544593,510.0,24.0
482,10.0,1567,0.0,2021-22,660.0,376.0,4.0,0.7553191489361702,0.8534816338249337,2021,22,1.0,21.0,21.001,13.523165563544593,450.0,25.0
483,10.0,1568,0.0,2021-23,660.0,376.0,4.0,0.7553191489361702,0.8534816338249337,2021,23,1.0,21.0,21.001,13.523165563544593,450.0,25.0
484,10.0,1569,2.0,2021-24,660.0,376.0,4.0,0.7553191489361702,0.8534816338249337,2021,24,1.0,21.0,19.001,14.946581758854796,450.0,25.0
580,11.0,1384,0.0,2017-37,376.0,226.66666666666663,4.5,0.658823529411765,0.6746375983640656,2017,37,2.0,21.0,21.001,7.110772502896689,420.0,25.0
581,11.0,1385,0.0,2017-38,376.0,226.66666666666663,4.5,0.658823529411765,0.6746375983640656,2017,38,2.0,21.0,21.001,7.110772502896689,390.0,25.0
582,11.0,1386,4.0,2018-21,226.25,132.25,4.5,0.7107750472589792,0.6746375983640656,2018,21,2.0,26.0,22.001,4.272533066678787,150.0,25.0
583,11.0,1387,4.0,2018-22,139.75,81.75,4.5,0.709480122324159,0.6746375983640656,2018,22,2.0,26.0,22.001,2.636243807099677,150.0,-275.0
623,11.0,1428,0.0,2021-27,1256.25,728.5833333333334,4.5,0.724236532082809,0.6746375983640656,2021,27,2.0,14.0,14.001,37.68778420589005,780.0,25.0
624,11.0,1429,0.0,2021-28,1256.25,728.5833333333334,4.5,0.724236532082809,0.6746375983640656,2021,28,2.0,14.0,14.001,37.68778420589005,1800.0,-200.0
625,11.0,1430,12.0,2021-29,1256.25,728.5833333333334,4.5,0.724236532082809,0.6746375983640656,2021,29,2.0,14.0,2.001,263.70148259203734,960.0,24.0
626,11.0,1432,5.0,2021-31,1522.0,882.6,4.5,0.7244504871969182,0.6746375983640656,2021,31,2.0,14.0,9.001,71.03655149427841,960.0,24.0
627,11.0,1433,0.0,2021-32,1522.0,882.6,4.5,0.7244504871969182,0.6746375983640656,2021,32,2.0,14.0,14.001,45.66816655953146,990.0,25.0
628,11.0,1434,0.0,2021-33,1522.0,882.6,4.5,0.7244504871969182,0.6746375983640656,2021,33,2.0,14.0,14.001,45.66816655953146,900.0,23.0
629,11.0,1435,0.0,2021-34,1522.0,882.6,4.5,0.7244504871969182,0.6746375983640656,2021,34,2.0,14.0,14.001,45.66816655953146,960.0,-287.0
630,11.0,1436,0.0,2021-35,1522.0,882.6,4.5,0.7244504871969182,0.6746375983640656,2021,35,2.0,14.0,14.001,45.66816655953146,990.0,20.0
631,11.0,1437,0.0,2021-36,1522.0,882.6,4.5,0.7244504871969182,0.6746375983640656,2021,36,2.0,14.0,14.001,45.66816655953146,900.0,-113.0
632,11.0,1438,0.0,2021-37,1522.0,882.6,4.5,0.7244504871969182,0.6746375983640656,2021,37,2.0,14.0,14.001,45.66816655953146,990.0,22.0
990,23.0,6343,4.0,2013-28,1730.0,1038.0,4.5,0.6666666666666666,1.1390034028253848,2013,28,2.0,85.0,81.001,8.543104406118443,1230.0,-275.0
998,23.0,6351,6.0,2013-36,583.3333333333334,350.0,4.5,0.6666666666666667,1.1390034028253848,2013,36,2.0,85.0,79.001,2.953549111192685,450.0,-275.0
1224,29.0,2713,3.0,2019-34,1266.6666666666667,696.6666666666666,4.0,0.8181818181818183,0.8938713986886744,2019,34,6.0,42.0,39.001,14.615009871541758,840.0,25.0
1442,39.0,3297,11.0,2021-24,1430.0,791.1818181818181,4.0,0.8074227277950133,1.0859085236161643,2021,24,3.0,34.0,23.001,27.773496014007296,840.0,23.0
1782,50.0,5472,6.0,2013-21,514.6666666666666,316.6666666666667,4.0,0.6252631578947366,1.5696969463926826,2013,21,28.0,196.0,190.001,1.0420997784222186,540.0,-1175.0
1783,50.0,5473,3.0,2013-22,693.3333333333334,381.3333333333333,4.0,0.8181818181818183,1.5696969463926826,2013,22,28.0,196.0,193.001,1.6165719348604417,630.0,-1175.0
1897,50.0,5596,0.0,2019-37,1554.2857142857142,941.2857142857144,4.0,0.6512369100015173,1.5696969463926826,2019,37,28.0,196.0,196.001,3.1275350635966133,1200.0,-275.0
1898,50.0,5597,7.0,2019-38,1554.2857142857142,941.2857142857144,4.0,0.6512369100015173,1.5696969463926826,2019,38,28.0,196.0,189.001,3.2433690827032646,1530.0,-275.0
2018,51.0,3711,0.0,2019-24,697.5,418.5,4.0,0.6666666666666666,0.9095505428700332,2019,24,7.0,49.0,49.001,5.693761351809147,540.0,25.0
2019,51.0,3712,0.0,2019-25,697.5,418.5,4.0,0.6666666666666666,0.9095505428700332,2019,25,7.0,49.0,49.001,5.693761351809147,510.0,25.0
2020,51.0,3713,0.0,2019-26,697.5,418.5,4.0,0.6666666666666666,0.9095505428700332,2019,26,7.0,49.0,49.001,5.693761351809147,510.0,25.0
2021,51.0,3714,0.0,2019-27,697.5,418.5,4.0,0.6666666666666666,0.9095505428700332,2019,27,7.0,49.0,49.001,5.693761351809147,510.0,25.0
2022,51.0,3715,4.0,2019-28,697.5,418.5,4.0,0.6666666666666666,0.9095505428700332,2019,28,7.0,49.0,45.001,6.199862225283883,510.0,25.0
2930,76.0,4315,2.0,2021-34,675.0,364.5,4.5,0.8518518518518519,1.088477268599085,2021,34,6.0,42.0,40.001,7.762305942351442,450.0,-275.0
2931,76.0,4316,0.0,2021-35,1125.0,607.5,4.5,0.8518518518518519,1.088477268599085,2021,35,6.0,42.0,42.001,12.321135211066403,690.0,25.0
2932,76.0,4317,0.0,2021-36,1125.0,607.5,4.5,0.8518518518518519,1.088477268599085,2021,36,6.0,42.0,42.001,12.321135211066403,690.0,25.0
2933,76.0,4318,2.0,2021-37,1125.0,607.5,4.5,0.8518518518518519,1.088477268599085,2021,37,6.0,42.0,40.001,12.937176570585736,750.0,25.0
3522,90.0,4391,0.0,2016-38,1083.25,578.0,4.5,0.8741349480968859,0.8879621573004739,2016,38,17.0,119.0,119.001,4.245762640650079,870.0,25.0
3611,98.0,8552,16.0,2016-23,890.625,543.75,4.0,0.6379310344827587,1.6033950251073723,2016,23,14.0,340.0,324.001,1.0705985475353472,900.0,25.0
3873,102.0,6591,0.0,2019-24,1118.4,671.0,4.5,0.6667660208643816,1.0068782702572845,2019,24,6.0,42.0,42.001,10.652127330301662,840.0,25.0
3874,102.0,6592,0.0,2019-25,1118.4,671.0,4.5,0.6667660208643816,1.0068782702572845,2019,25,6.0,42.0,42.001,10.652127330301662,750.0,25.0
3875,102.0,6593,0.0,2019-26,1118.4,671.0,4.5,0.6667660208643816,1.0068782702572845,2019,26,6.0,42.0,42.001,10.652127330301662,1050.0,24.0
3876,102.0,6594,5.0,2019-27,1118.4,671.0,4.5,0.6667660208643816,1.0068782702572845,2019,27,6.0,42.0,37.001,12.091565092835332,1020.0,25.0
4339,131.0,10516,1.0,2013-25,240.0,140.0,3.5,0.7142857142857143,0.5337177442036245,2013,25,1.0,19.0,18.001,5.555246930726071,180.0,25.0
4340,131.0,10517,1.0,2013-26,240.0,140.0,3.5,0.7142857142857143,0.5337177442036245,2013,26,1.0,19.0,18.001,5.555246930726071,180.0,25.0
4698,148.0,9907,3.0,2019-28,1752.0,1051.3333333333333,4.0,0.6664552948636653,1.300877073482278,2019,28,3.0,41.0,38.001,18.438111277773395,1290.0,25.0
4876,159.0,5114,7.0,2017-23,1320.142857142857,823.0,4.0,0.6040617948272868,1.3944993027357366,2017,23,19.0,133.0,126.001,3.945546917428093,1140.0,25.0
4973,160.0,7961,14.0,2015-26,982.8571428571428,540.5714285714286,4.5,0.8181818181818181,1.1421555573133644,2015,26,14.0,98.0,84.001,5.265243440979443,690.0,25.0
5147,178.0,3138,5.0,2019-27,1278.4,767.0,4.5,0.6667535853976533,0.8613067406118347,2019,27,4.0,28.0,23.001,22.233815921046915,960.0,25.0
5821,232.0,8475,0.0,2019-36,1460.8,803.2,4.0,0.8187250996015935,1.0962822704447843,2019,36,13.0,91.0,91.001,7.226294216547069,990.0,25.0
5822,232.0,8476,0.0,2019-37,1460.8,803.2,4.0,0.8187250996015935,1.0962822704447843,2019,37,13.0,91.0,91.001,7.226294216547069,1140.0,25.0
5823,232.0,8477,0.0,2019-38,1460.8,803.2,4.0,0.8187250996015935,1.0962822704447843,2019,38,13.0,91.0,91.001,7.226294216547069,1080.0,25.0
5824,232.0,8478,0.0,2021-21,1460.8,803.2,4.0,0.8187250996015935,1.0962822704447843,2021,21,13.0,91.0,91.001,7.226294216547069,930.0,25.0
5962,234.0,574,4.0,2021-37,1490.0,894.0,4.5,0.6666666666666666,0.923362088159984,2021,37,17.0,119.0,115.001,5.18256362988148,1500.0,25.0
6475,280.0,9036,4.0,2019-21,936.25,585.0,4.0,0.6004273504273504,0.96362979515665,2019,21,10.0,70.0,66.001,5.321889062286934,720.0,25.0
7282,375.0,2284,0.0,2019-37,1500.0,881.0,4.0,0.70261066969353,1.013748300784569,2019,37,6.0,42.0,42.001,14.737744339420493,1140.0,25.0
7283,375.0,2285,0.0,2019-38,1500.0,881.0,4.0,0.70261066969353,1.013748300784569,2019,38,6.0,42.0,42.001,14.737744339420493,930.0,25.0
7284,375.0,2286,0.0,2021-21,1500.0,881.0,4.0,0.70261066969353,1.013748300784569,2021,21,6.0,42.0,42.001,14.737744339420493,990.0,25.0
7285,375.0,2287,0.0,2021-22,1500.0,881.0,4.0,0.70261066969353,1.013748300784569,2021,22,6.0,42.0,42.001,14.737744339420493,960.0,25.0
7286,375.0,2288,1.0,2021-23,1500.0,881.0,4.0,0.70261066969353,1.013748300784569,2021,23,6.0,42.0,41.001,15.097192751396308,1140.0,24.0
7287,375.0,2289,1.0,2021-24,1500.0,881.0,4.0,0.70261066969353,1.013748300784569,2021,24,6.0,42.0,41.001,15.097192751396308,1200.0,24.0
7745,450.0,6876,0.0,2019-21,654.5454545454545,405.0,5.0,0.616161616161616,0.8234691680289685,2019,21,7.0,49.0,49.001,5.092660446632814,810.0,25.0
7746,450.0,6877,0.0,2019-22,654.5454545454545,405.0,5.0,0.616161616161616,0.8234691680289685,2019,22,7.0,49.0,49.001,5.092660446632814,480.0,25.0
7747,450.0,6878,22.0,2019-23,654.5454545454545,405.0,5.0,0.616161616161616,0.8234691680289685,2019,23,7.0,49.0,27.001,9.242081943093014,660.0,25.0
7757,450.0,6903,11.0,2021-30,1595.4545454545455,893.4545454545455,5.0,0.7857142857142857,0.8234691680289685,2021,30,7.0,49.0,38.001,18.473198073734903,1260.0,25.0
8180,538.0,11069,3.0,2019-38,1400.0,868.0,4.5,0.6129032258064516,0.8011504860342068,2019,38,25.0,175.0,172.001,3.093005273225156,1080.0,25.0
8404,589.0,7857,10.0,2017-30,498.0,290.5,4.5,0.7142857142857143,0.6431358288362716,2017,30,21.0,147.0,137.001,1.5145874847628849,450.0,-875.0
8405,589.0,7858,13.0,2017-31,813.5384615384615,452.61538461538464,4.5,0.797416723317471,0.6431358288362716,2017,31,21.0,147.0,134.001,2.693435697667009,600.0,-275.0
8406,589.0,7859,10.0,2017-32,867.1,495.0,4.5,0.7517171717171718,0.6431358288362716,2017,32,21.0,147.0,137.001,2.71603856906154,630.0,-275.0
8407,589.0,7860,10.0,2017-33,1521.2,854.7,4.5,0.7798057798057798,0.6431358288362716,2017,33,21.0,147.0,137.001,4.864927993226327,1680.0,25.0
8408,589.0,7861,18.0,2017-34,936.2777777777778,541.1666666666666,4.5,0.7301098449851147,0.6431358288362716,2017,34,21.0,147.0,129.001,3.0628530872715034,690.0,-275.0
8412,589.0,7865,0.0,2017-38,744.8,450.8,4.5,0.6521739130434782,0.6431358288362716,2017,38,21.0,147.0,147.001,1.999986394650376,600.0,-275.0
8413,589.0,7866,0.0,2018-21,744.8,450.8,4.5,0.6521739130434782,0.6431358288362716,2018,21,21.0,147.0,147.001,1.999986394650376,600.0,-275.0
8414,589.0,7867,0.0,2018-22,744.8,450.8,4.5,0.6521739130434782,0.6431358288362716,2018,22,21.0,147.0,147.001,1.999986394650376,780.0,25.0
8415,589.0,7868,5.0,2018-23,744.8,450.8,4.5,0.6521739130434782,0.6431358288362716,2018,23,21.0,147.0,142.001,2.070407954873557,630.0,-275.0
8420,589.0,7874,13.0,2018-29,872.9230769230769,488.3076923076923,4.5,0.7876496534341524,0.6431358288362716,2018,29,21.0,147.0,134.001,2.8702426445726865,630.0,-275.0
8421,589.0,7875,10.0,2018-30,798.6,468.7,4.5,0.7038617452528271,0.6431358288362716,2018,30,21.0,147.0,137.001,2.408011620353136,870.0,25.0
8422,589.0,7876,13.0,2018-31,1520.6153846153843,858.4615384615385,4.5,0.7713261648745516,0.6431358288362716,2018,31,21.0,147.0,134.001,4.941409736896335,1050.0,-275.0
8440,589.0,7899,5.0,2019-36,1652.0,865.2,4.5,0.9093851132686084,0.6431358288362716,2019,36,21.0,147.0,142.001,5.540806050661614,1080.0,25.0
8553,701.0,829,6.0,2019-22,940.0,517.0,4.5,0.8181818181818182,1.3469115660906912,2019,22,5.0,35.0,29.001,14.585703941243406,570.0,25.0
8560,701.0,843,6.0,2019-36,1350.0,742.5,4.5,0.8181818181818182,1.3469115660906912,2019,36,5.0,35.0,29.001,20.947553532636803,840.0,25.0
8561,701.0,844,9.0,2019-37,1664.4444444444443,962.7777777777778,4.5,0.7287939988459318,1.3469115660906912,2019,37,5.0,35.0,26.001,26.986141558657994,1050.0,25.0
8562,701.0,845,11.0,2019-38,1760.0,1048.1818181818182,4.5,0.679098005203816,1.3469115660906912,2019,38,5.0,35.0,24.001,29.65785516512569,1110.0,25.0
